"","time","Q_BVR_m3.d"
"160",2013-06-09,12068.7354237565
"161",2013-06-10,9955.32181668296
"162",2013-06-11,6968.72527167807
"163",2013-06-12,4878.10769017465
"164",2013-06-13,3414.67538312225
"165",2013-06-14,2390.27276818558
"166",2013-06-15,1673.1909377299
"167",2013-06-16,1171.23365641093
"168",2013-06-17,819.863559487653
"169",2013-06-18,5729.40648273325
"170",2013-06-19,6819.14750370366
"171",2013-06-20,4773.40325259256
"172",2013-06-21,3341.38227681479
"173",2013-06-22,2338.96759377036
"174",2013-06-23,1637.27731563925
"175",2013-06-24,1146.09412094747
"176",2013-06-25,802.265884663232
"177",2013-06-26,5277.59113386812
"178",2013-06-27,3694.31379370768
"179",2013-06-28,2586.01965559538
"180",2013-06-29,1810.21375891676
"181",2013-06-30,3886.81297307877
"182",2013-07-01,2720.76908115514
"183",2013-07-02,37397.7150539348
"184",2013-07-03,56915.7438823794
"185",2013-07-04,66697.0723217906
"186",2013-07-05,46687.9506252534
"187",2013-07-06,32681.5654376774
"188",2013-07-07,23214.9333146657
"189",2013-07-08,16250.453320266
"190",2013-07-09,11375.3173241862
"191",2013-07-10,32868.0801109034
"192",2013-07-11,23007.6560776323
"193",2013-07-12,16105.3592543426
"194",2013-07-13,13329.4720422061
"195",2013-07-14,9330.63042954424
"196",2013-07-15,6531.44130068097
"197",2013-07-16,4572.00891047668
"198",2013-07-17,3200.40623733368
"199",2013-07-18,2240.28436613357
"200",2013-07-19,1568.1990562935
"201",2013-07-20,1097.73933940545
"202",2013-07-21,768.417537583815
"203",2013-07-22,1679.78662751378
"204",2013-07-23,1175.85063925965
"205",2013-07-24,823.095447481752
"206",2013-07-25,576.166813237226
"207",2013-07-26,403.316769266058
"208",2013-07-27,8013.86012565617
"209",2013-07-28,5609.70208795932
"210",2013-07-29,3926.79146157152
"211",2013-07-30,2748.75402310007
"212",2013-07-31,1924.12781617005
"213",2013-08-01,3923.01785690495
"214",2013-08-02,2746.11249983347
"215",2013-08-03,1922.27874988343
"216",2013-08-04,1345.5951249184
"217",2013-08-05,941.916587442879
"218",2013-08-06,6640.54719967494
"219",2013-08-07,4648.38303977246
"220",2013-08-08,14542.0233996627
"221",2013-08-09,11198.8887266979
"222",2013-08-10,7839.22210868853
"223",2013-08-11,8631.8385615674
"224",2013-08-12,6042.28699309718
"225",2013-08-13,5262.43630691667
"226",2013-08-14,3683.70541484167
"227",2013-08-15,2578.59379038917
"228",2013-08-16,1805.01565327242
"229",2013-08-17,15697.8526152907
"230",2013-08-18,11394.3047307035
"231",2013-08-19,8949.16231149242
"232",2013-08-20,6264.4136180447
"233",2013-08-21,5607.13901761665
"234",2013-08-22,3924.99731233166
"235",2013-08-23,2747.49811863216
"236",2013-08-24,1923.24868304251
"237",2013-08-25,1346.27407812976
"238",2013-08-26,942.391854690831
"239",2013-08-27,659.674298283581
"240",2013-08-28,461.772008798507
"241",2013-08-29,323.240406158955
"242",2013-08-30,226.268284311268
"243",2013-08-31,1341.77182200417
"244",2013-09-01,939.240275402918
"245",2013-09-02,657.468192782042
"246",2013-09-03,460.227734947429
"247",2013-09-04,322.159414463201
"248",2013-09-05,225.511590124241
"249",2013-09-06,157.858113086968
"250",2013-09-07,110.500679160878
"251",2013-09-08,77.3504754126145
"252",2013-09-09,54.1453327888302
"253",2013-09-10,37.9017329521811
"254",2013-09-11,26.5312130665268
"255",2013-09-12,18.5718491465687
"256",2013-09-13,13.0002944025981
"257",2013-09-14,9.10020608181868
"258",2013-09-15,6.37014425727308
"259",2013-09-16,4.45910098009116
"260",2013-09-17,3.12137068606381
"261",2013-09-18,2.18495948024467
"262",2013-09-19,1.52947163617127
"263",2013-09-20,9075.99358274052
"264",2013-09-21,12755.7084491398
"265",2013-09-22,8928.99591439782
"266",2013-09-23,6250.29714007848
"267",2013-09-24,4375.20799805494
"268",2013-09-25,3062.64559863845
"269",2013-09-26,2143.85191904692
"270",2013-09-27,1500.69634333284
"271",2013-09-28,1050.48744033299
"272",2013-09-29,735.341208233093
"273",2013-09-30,514.738845763165
"274",2013-10-01,360.317192034216
"275",2013-10-02,252.222034423951
"276",2013-10-03,176.555424096766
"277",2013-10-04,123.588796867736
"278",2013-10-05,86.5121578074152
"279",2013-10-06,60.5585104651906
"280",2013-10-07,28230.4944597503
"281",2013-10-08,19761.3461218252
"282",2013-10-09,13832.9422852777
"283",2013-10-10,11275.4430772599
"284",2013-10-11,7892.81015408193
"285",2013-10-12,6318.47122242797
"286",2013-10-13,4422.92985569958
"287",2013-10-14,7490.19786473324
"288",2013-10-15,5243.13850531327
"289",2013-10-16,3670.19695371929
"290",2013-10-17,2805.87183497553
"291",2013-10-18,1964.11028448287
"292",2013-10-19,1374.87719913801
"293",2013-10-20,962.414039396608
"294",2013-10-21,673.689827577626
"295",2013-10-22,471.582879304338
"296",2013-10-23,330.108015513036
"297",2013-10-24,231.075610859126
"298",2013-10-25,161.752927601388
"299",2013-10-26,113.227049320972
"300",2013-10-27,79.2589345246801
"301",2013-10-28,55.481254167276
"302",2013-10-29,38.8368779170932
"303",2013-10-30,27.1858145419653
"304",2013-10-31,19.0300701793757
"305",2013-11-01,30.9030568480145
"306",2013-11-02,21.6321397936102
"307",2013-11-03,15.1424978555271
"308",2013-11-04,10.599748498869
"309",2013-11-05,7.41982394920828
"310",2013-11-06,5.1938767644458
"311",2013-11-07,3.63571373511206
"312",2013-11-08,2.54499961457844
"313",2013-11-09,1.78149973020491
"314",2013-11-10,1.24704981114344
"315",2013-11-11,0.872934867800405
"316",2013-11-12,0.611054407460284
"317",2013-11-13,0.427738085222198
"318",2013-11-14,0.299416659655539
"319",2013-11-15,5349.25423823818
"320",2013-11-16,5365.01470991357
"321",2013-11-17,5911.9088045542
"322",2013-11-18,4459.51146873313
"323",2013-11-19,3121.65802811319
"324",2013-11-20,2185.16061967923
"325",2013-11-21,1529.61243377546
"326",2013-11-22,1070.72870364282
"327",2013-11-23,749.510092549978
"328",2013-11-24,524.657064784984
"329",2013-11-25,367.259945349489
"330",2013-11-26,35081.7915472264
"331",2013-11-27,25603.065877629
"332",2013-11-28,17922.1461143403
"333",2013-11-29,12545.5022800382
"334",2013-11-30,8781.85159602675
"335",2013-12-01,6147.29611721873
"336",2013-12-02,4303.10728205311
"337",2013-12-03,10819.1364293342
"338",2013-12-04,21073.0028688768
"339",2013-12-05,19235.9823297083
"340",2013-12-06,25809.4703307958
"341",2013-12-07,19819.727531557
"342",2013-12-08,16281.6890720899
"343",2013-12-09,17030.6874643458
"344",2013-12-10,21624.2995072048
"345",2013-12-11,15137.0096550433
"346",2013-12-12,10595.9067585303
"347",2013-12-13,7417.13473097124
"348",2013-12-14,11004.59227963
"349",2013-12-15,7703.21459574103
"350",2013-12-16,5392.25021701872
"351",2013-12-17,4694.87489484109
"352",2013-12-18,3286.41242638876
"353",2013-12-19,2300.48869847214
"354",2013-12-20,8294.84704716916
"355",2013-12-21,20510.2340226511
"356",2013-12-22,20850.7031158557
"357",2013-12-23,28535.221681099
"358",2013-12-24,19974.6551767693
"359",2013-12-25,13982.2586237385
"360",2013-12-26,9787.58103661696
"361",2013-12-27,6851.30672563187
"362",2013-12-28,4928.02470493696
"363",2013-12-29,20206.2932755775
"364",2013-12-30,14144.4052929043
"365",2013-12-31,9901.08370503298
"366",2014-01-01,6930.75859352309
"367",2014-01-02,5632.95365366801
"368",2014-01-03,3943.06755756761
"369",2014-01-04,2760.14729029733
"370",2014-01-05,2820.66558877735
"371",2014-01-06,2358.89041214414
"372",2014-01-07,1651.2232885009
"373",2014-01-08,1155.85630195063
"374",2014-01-09,809.099411365441
"375",2014-01-10,9235.81145313722
"376",2014-01-11,17417.9434444862
"377",2014-01-12,12192.5604111403
"378",2014-01-13,8534.79228779822
"379",2014-01-14,13979.0290972881
"380",2014-01-15,10945.5349678579
"381",2014-01-16,7661.87447750052
"382",2014-01-17,5363.31213425036
"383",2014-01-18,3754.31849397525
"384",2014-01-19,2628.02294578268
"385",2014-01-20,1839.61606204787
"386",2014-01-21,2416.82507346344
"387",2014-01-22,1691.77755142441
"388",2014-01-23,1184.24428599709
"389",2014-01-24,828.97100019796
"390",2014-01-25,580.279700138572
"391",2014-01-26,406.195790097001
"392",2014-01-27,284.337053067901
"393",2014-01-28,1132.00165538484
"394",2014-01-29,792.401158769387
"395",2014-01-30,554.680811138571
"396",2014-01-31,388.276567797
"397",2014-02-01,271.7935974579
"398",2014-02-02,190.25551822053
"399",2014-02-03,28198.9316058066
"400",2014-02-04,20820.4077240646
"401",2014-02-05,14940.7996068453
"402",2014-02-06,10458.5597247917
"403",2014-02-07,7320.99180735417
"404",2014-02-08,5124.69426514792
"405",2014-02-09,3587.28598560355
"406",2014-02-10,2511.10018992248
"407",2014-02-11,1757.77013294574
"408",2014-02-12,12133.1920267324
"409",2014-02-13,27352.9518980368
"410",2014-02-14,19147.0663286257
"411",2014-02-15,13402.946430038
"412",2014-02-16,9382.06250102662
"413",2014-02-17,6567.44375071863
"414",2014-02-18,4597.21062550304
"415",2014-02-19,8231.36623020188
"416",2014-02-20,19519.0297557955
"417",2014-02-21,23497.7734623958
"418",2014-02-22,16448.441423677
"419",2014-02-23,11513.9089965739
"420",2014-02-24,8059.73629760175
"421",2014-02-25,5641.81540832123
"422",2014-02-26,3949.27078582486
"423",2014-02-27,2764.4895500774
"424",2014-02-28,1935.14268505418
"425",2014-03-01,1354.59987953793
"426",2014-03-02,3743.66877224133
"427",2014-03-03,16100.8421681544
