"Date","res_site","Reservoir","Site","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","TN_TP","DP_TP","DN_TN","DN_DP","Chla_ugL","Flow_cms","A","T","distance_m","Sp_cond_uScm","distance_from_stream"
2019-07-18,"FCR_100","FCR","100",229.5,16.4,6,3,13,4.2,13.9939024390244,0.853658536585366,0.0392156862745098,0.642857142857143,0.3,0.005134307,0.160936001,0.030933513,1500,35.9,"0"
2019-07-18,"FCR_101","FCR","101",270,18.4,4,3,15,2.5,14.6739130434783,0.869565217391304,0.0259259259259259,0.4375,0.2,0.004274691,0.159466911,0.031753213,1076,35.4,"0"
2019-07-18,"FCR_102","FCR","102",315,NA,36,3,7,0,NA,NA,0.123809523809524,4.875,NA,0.001146158,0.054796967,0.023097109,696,47.6,"0"
2019-07-18,"FCR_20","FCR","20",305,NA,4.5,1.5,8.5,4.7,NA,NA,0.019672131147541,0.631578947368421,18.2,NA,0.239390909,0.122558662,96,36.4,"1"
2019-07-18,"FCR_200","FCR","200",170,NA,21,46,13,1.6,NA,NA,0.394117647058824,4.78571428571429,1.1,0.00595,0.393148093,0.075861469,0,56.5,"0"
2019-07-18,"FCR_30","FCR","30",309,9.2,3,3,4,3.9,33.5869565217391,0.543478260869565,0.0194174757281553,1.2,17.2,NA,0.230179816,0.128353584,370,36.6,"2"
2019-07-18,"FCR_45","FCR","45",309,9.9,7,3,5,4.5,31.2121212121212,0.606060606060606,0.0323624595469256,1.66666666666667,14.1,NA,0.233093212,0.116950932,506,36.5,"2"
2019-07-18,"FCR_50","FCR","50",361.5,10.1,17,5,5,4.4,35.7920792079208,0.594059405940594,0.0608575380359613,3.66666666666667,15.1,NA,0.261784031,0.14918532,642,36.004,"3"
2019-07-18,"FCR_99","FCR","99",246,14.8,8,3,20.5,2.3,16.6216216216216,1.4527027027027,0.0447154471544715,0.511627906976744,0.2,0.005135225,0.177436281,0.036706026,0,36.5,"0"
2019-07-22,"FCR_100","FCR","100",456,14.7,14,3,14,3.7,31.0204081632653,1.02040816326531,0.037280701754386,1.13333333333333,NA,NA,0.182106752,0.035889064,1500,NA,"0"
2019-07-22,"FCR_102","FCR","102",178.5,9.5,33,3,7,2.7,18.7894736842105,0.842105263157895,0.201680672268908,4.5,0.3,NA,NA,NA,696,NA,"0"
2019-07-22,"FCR_200","FCR","200",240,43.6,38,51,4,3.1,5.5045871559633,0.114678899082569,0.370833333333333,17.8,NA,0.00635,0.415984214,0.091378428,0,NA,"0"
2019-07-22,"FCR_50","FCR","50",372,10.1,7,4,10,5.5,36.8316831683168,1.08910891089109,0.0295698924731183,1,NA,NA,0.287605564,0.229240834,642,NA,"3"
2019-08-22,"FCR_1","FCR","1",698,32.9,14,264,10,2.7,21.2158054711246,0.33434650455927,0.398280802292264,25.2727272727273,6.2,0.009762845,0.214360724,0.06555953,726,89.3,"0"
2019-08-22,"FCR_100","FCR","100",431.5,40.05,6,3,19,1.2,10.7740324594257,0.499375780274657,0.0208574739281576,0.45,1,0.004032924,0.178554218,0.039499201,1500,37.9,"0"
2019-08-22,"FCR_101","FCR","101",338,45.15,3,3,20.5,1.35,7.48615725359911,0.476190476190476,0.0177514792899408,0.27906976744186,1.6,0.003163671,0.186718467,0.03210442,1076,37.4,"0"
2019-08-22,"FCR_102","FCR","102",280.75,22.95,106,3,16,0.2,12.2331154684096,0.740740740740741,0.388245770258237,6.41176470588235,0.1,0.000909201,0.061841295,0.039886006,696,41.4,"0"
2019-08-22,"FCR_20","FCR","20",756,28,4,3,7,4.4,27,0.285714285714286,0.00925925925925926,0.875,41.5,NA,0.324575581,0.221472693,96,39.3,"1"
2019-08-22,"FCR_200","FCR","200",223.5,54.95,24,32,4,1.2,4.0673339399454,0.0909918107370337,0.250559284116331,11.2,0.7,0.01161,0.388607218,0.062355338,0,50.3,"0"
2019-08-22,"FCR_30","FCR","30",676.5,27.8,5,8,8,5.3,24.3345323741007,0.323741007194245,0.0192165558019217,1.44444444444444,36.7,NA,0.302997389,0.20897714,370,38.7,"2"
2019-08-22,"FCR_45","FCR","45",874,36.8,4,3,18,5.5,23.75,0.516304347826087,0.0080091533180778,0.368421052631579,36.1,NA,0.293574738,0.188906765,506,39.1,"2"
2019-08-22,"FCR_50","FCR","50",840.75,33.95,8,10,8,5,24.7643593519882,0.265095729013255,0.0214094558429973,2,35.8,NA,0.292901074,0.186312964,642,38.7,"3"
2019-08-22,"FCR_99","FCR","99",259,26.95,5,3,17,1.6,9.61038961038961,0.667903525046382,0.0308880308880309,0.444444444444444,0.6,0.004152117,0.178260298,0.050582052,0,38.6,"0"
2019-09-20,"FCR_100","FCR","100",183,28.2,5,3,20,1,6.48936170212766,0.74468085106383,0.0437158469945355,0.380952380952381,NA,NA,0.19236738,0.048755205,1500,NA,"0"
2019-09-20,"FCR_20","FCR","20",616.5,26.6,21,3,9,4.7,23.1766917293233,0.37593984962406,0.0389294403892944,2.4,24.7,NA,0.368081837,0.21026846,96,39,"1"
2019-09-20,"FCR_30","FCR","30",NA,NA,23,3,8,4.7,NA,NA,NA,2.88888888888889,26.5,NA,0.291073936,0.176266903,370,39.2,"2"
2019-09-20,"FCR_45","FCR","45",1019,27.2,27,5,2,4,37.4632352941176,0.110294117647059,0.0314033366045142,10.6666666666667,23.8,NA,0.401103041,0.227746895,506,38.3,"2"
2019-09-20,"FCR_50","FCR","50",583.5,25.1,39,27,8,4.5,23.2470119521912,0.358565737051793,0.113110539845758,7.33333333333333,29.4,NA,0.332701312,0.274356185,642,38.8,"3"
2019-10-04,"FCR_1","FCR","1",289,24.25,17,278,12,1,11.9175257731959,0.536082474226804,1.02076124567474,22.6923076923077,1.8,0.003118284,0.159600046,0.047346229,726,150,"0"
2019-10-04,"FCR_100","FCR","100",79,23.9,4,64,18,3.2,3.30543933054393,0.794979079497908,0.860759493670886,3.57894736842105,0.3,NA,0.219170065,0.180449388,1500,42.2,"0"
2019-10-04,"FCR_101","FCR","101",98,27.4333333333333,6,3,21.6666666666667,1.2,3.5722964763062,0.826245443499393,0.0918367346938776,0.397058823529412,0.2,0.001733591,0.235122015,0.131741561,1076,41.6,"0"
2019-10-04,"FCR_102","FCR","102",222,13.85,24,3,7,0.5,16.028880866426,0.577617328519856,0.121621621621622,3.375,0.3,0.001011647,0.082936587,0.056473765,696,50.1,"0"
2019-10-04,"FCR_20","FCR","20",1000,26.05,5,6,16,8.4,38.3877159309021,0.652591170825336,0.011,0.647058823529412,36.4,NA,0.340516136,0.341036019,96,40.5,"1"
2019-10-04,"FCR_200","FCR","200",94.5,47.8,27,26,7,1.6,1.97698744769874,0.167364016736402,0.560846560846561,6.625,1.5,0,0.472208006,0.091094822,0,50.6,"0"
2019-10-04,"FCR_30","FCR","30",703.5,30.8,2,0,14,7.4,22.8409090909091,0.487012987012987,0.00284292821606254,0.133333333333333,39.1,NA,0.326009725,0.43732961,370,40.2,"2"
2019-10-04,"FCR_45","FCR","45",931,40.85,3,3,8,6.6,22.7906976744186,0.2203182374541,0.00644468313641246,0.666666666666667,39.5,NA,0.347395781,0.379951008,506,40.8,"2"
2019-10-04,"FCR_50","FCR","50",812.5,29.95,7,6,8,6.5,27.1285475792988,0.300500834724541,0.016,1.44444444444444,38.7,NA,0.317772414,0.311226411,642,40.0943009708738,"3"
2019-10-04,"FCR_99","FCR","99",496.75,116.55,4,63,16,1.5,4.26211926211926,0.145860145860146,0.134876698540513,3.94117647058824,0.3,0.002155302,0.187653721,0.040651098,0,42.5,"0"
