Reservoir,Site,DateTime,Depth_m,Rep,Dilution,a254_m,a350_m,S275_295,S350_400,Sr,Max_FL_Ex,Max_FL_Em,Max_FL,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,Fmax1,Fmax2,Fmax3,Fmax4,abs_Flag,fl_Flag
FCR,45,2019-04-29,0.1,1,1,9.9029,3.6848,1.994370654,1.010863742,1.972937174,300,300,6.754202858,0.035403116,0.041661125,0.159255354,0.079222889,0.06275364,0.050783566,1.401139635,0.578123701,4.957561981,1.176764365,0.663883806,0.820366273,0.525872329,3.822636909,2.010218973,2.537786741,0.792115012,1.560010344,0.386194134,0.43486906,0.094764551,0.107663019,0,0
FCR,50,2019-04-29,0.1,1,1,9.4423,3.4545,1.958198554,0.941718215,2.07938906,300,300,7.414924884,0.170823468,0.045064776,0.158052883,0.079179221,0.06274227,0.051750499,1.395623268,0.599307899,4.24271384,0.263809046,0.718252239,0.870808536,0.569149021,3.507237716,1.996140913,2.519081341,0.79240828,1.530018508,0.419774312,0.396012874,0.120728704,0.12994199,0,0
FCR,99,2019-04-29,0.1,1,1,7.8302,2.9939,1.751345931,0.724352075,2.417810331,300,300,10.1052928,0.044628498,0.041192385,0.121851904,0.060454524,0.048901233,0.044378092,1.446473748,0.620116282,3.469205021,0.923006303,0.842358819,0.928214418,0.681378031,2.958117241,2.015596102,2.491796146,0.808892856,1.362260559,0.295540422,0.313122488,0.107977736,0.12975214,0,0
FCR,100,2019-04-29,0.1,1,1,7.8302,2.7636,1.766653646,0.733223107,2.409435312,300,300,10.42622599,0.185359789,0.045476081,0.119998961,0.059969357,0.049002653,0.045391576,1.422609634,0.637593603,3.210889668,0.245339516,0.928033033,1.00186169,0.758321972,2.638726969,2.001004637,2.448825792,0.81712821,1.321156089,0.327251223,0.279256093,0.108403301,0.152659409,0,0
FCR,101,2019-04-29,0.1,1,1,8.7514,2.7636,1.911888152,0.747728386,2.556928676,300,300,11.4025096,0.235269708,0.095724761,0.138875783,0.064226043,0.069180751,0.074945627,1.461828508,0.682650198,1.80157705,0.406872442,1.383690689,1.277256113,1.490435273,1.450782242,2.162297028,2.00743388,1.077144831,0.856968522,0.333069085,0.309888223,0.166199943,0.327235781,0,0
FCR,102,2019-04-29,0.1,1,1,8.5211,2.5333,1.805531724,0.531562203,3.396651821,300,300,9.269405764,0.048907207,0.047639708,0.12276873,0.058838357,0.052286707,0.047074476,1.416037843,0.642892521,3.010547542,0.974083601,0.911124658,1.01200719,0.809670942,2.57702523,2.086542446,2.347991231,0.888650016,1.249899357,0.278262807,0.337030762,0.064337502,0.156052107,0,0
FCR,200,2019-04-29,0.1,1,1,17.5028,8.5211,2.64365018,1.966372537,1.344429974,305,304,20.63360248,0.045034564,0.049225214,0.245624447,0.122082828,0.087196436,0.068081504,1.439933156,0.551489469,5.048493527,1.093054098,0.564532415,0.723033594,0.403211617,4.989809604,2.011949198,2.816909264,0.714239973,1.793186417,0.639643745,0.563113527,0.454025141,0.101570139,0,0
FCR,50,2019-05-20,0.1,1,1,9.4423,3.4545,1.937593812,0.955313818,2.028227557,300,300,18.75750232,0.051462815,0.061738033,0.160945766,0.075668921,0.067161793,0.061537343,1.365825977,0.616941031,3.687472329,1.199662953,0.919243367,1.003261266,0.815896826,2.606914388,2.126973176,2.39638876,0.887574342,1.22964232,0.36419684,0.436597049,0.216378531,0.153019544,0,0
FCR,50,2019-05-20,5,2,1,8.9817,3.6848,1.95597586,1.122227159,1.742941119,305,304,16.76310896,0.063436522,0.065978521,0.170057363,0.083290844,0.071610128,0.063594389,1.430521523,0.630853183,3.238124716,1.040071532,0.921357386,1.037489648,0.79214614,2.577465536,2.041729375,2.374766908,0.859759906,1.309720007,0.384727992,0.468519746,0.11195487,0.215666421,0,0
FCR,50,2019-05-20,9,2,1,6.6787,2.303,1.586373486,0.632202225,2.509281721,300,300,16.51694005,0.05891049,0.070449454,0.161100174,0.078350699,0.068742476,0.065900233,1.470501151,0.677825223,2.775884567,1.195872837,1.02483149,1.069031952,0.899155399,2.286748356,2.05614213,2.343531724,0.877369019,1.188929025,0.346386289,0.449276679,0.150076291,0.203858268,0,0
