"Reservoir","Variable","Min Time","Max Time","Mean Time","Min Space","Max Space","Mean Space"
"BVR","chl",0.76,0.9,0.84,0.16,0.28,0.21
"FCR","chl",0.71,0.79,0.75,0.04,0.14,0.1
"BVR","SRP",0.64,0.88,0.79,0.17,1.08,0.63
"FCR","SRP",0.42,0.97,0.65,0.17,0.67,0.4
"BVR","NO3",0,0.62,0.44,0.14,0.91,0.5
"FCR","NO3",0.6,1.19,0.89,0.29,2,0.91
"BVR","NH4",0.19,0.51,0.39,0.22,0.66,0.4
"FCR","NH4",0.69,1.11,0.87,0.28,0.86,0.57
"BVR","TP",0.55,0.78,0.66,0.19,0.34,0.24
"FCR","TP",0.58,0.64,0.6,0.04,0.45,0.19
"BVR","TN",0.24,0.44,0.34,0.14,0.35,0.25
"FCR","TN",0.45,0.68,0.61,0.08,0.38,0.21
"BVR","A",0.16,0.23,0.18,0.02,0.17,0.05
"FCR","A",0.26,0.36,0.3,0.04,0.11,0.06
"BVR","T",0.17,0.44,0.24,0.03,0.44,0.14
"FCR","T",0.48,0.78,0.59,0.08,0.37,0.17
"BVR","DOC",0.14,0.26,0.2,0.08,0.33,0.2
"FCR","DOC",0.23,0.45,0.33,0.07,0.32,0.16
