"Date","Reservoir","Thermocline Depth (m)","Schmidt Stability (J/m^2)"
2019-04-29,"BVR",5.57073003892885,33.4279826719847
2019-04-29,"FCR",2.50274204452191,15.4971733429943
2019-05-30,"BVR",4.33633868073966,115.787315845832
2019-05-30,"FCR",2.43362395469984,42.0342994424736
2019-06-27,"BVR",6.97403332157743,119.499445746719
2019-06-27,"FCR",4.8378487300202,42.0513989119711
2019-07-18,"FCR",4.50268106724872,52.6554626810232
2019-08-22,"FCR",4.33517158213119,47.1366916933065
2019-08-22,"BVR",4.53733679734465,160.042722860545
2019-09-20,"BVR",6.39590592386113,89.052939919775
2019-09-20,"FCR",4.47796121237716,23.2423156668054
2019-10-04,"BVR",7.21411322233131,112.625983132897
2019-10-04,"FCR",5.90657673286136,30.3432045315518
