Reservoir,DateTime,Site,Temp Sensor ID,Temp (Celcius),DO Sensor ID,DO (mg/L),DO (% Sat),Cond. Sensor ID,Sp Cond. (Micro S),Notes
FCR,2019-06-27,F30,B 17J2,25.8,B 17J2,9.27,113,18B1,34.7,
FCR,2019-06-27,F20,B 17J2,26.5,B 17J2,9.75,119.5,18B1,35,
FCR,2019-06-27,F99,B 17J2,21.5,B 17J2,8.91,100.9,18B1,31.5,
FCR,6/27/2019  13:28:00 AM,F100,B 17J2,21.7,B 17J2,8.74,99.5,18B1,31.2,
FCR,6/27/2019  14:06:00 AM,F200,B 17J2,24.3,B 17J2,7.95,94.1,18B1,47.1,
FCR,2019-06-27,F101,B 17J2,22.6,B 17J2,8.6,99.7,18B1,31,
FCR,2019-06-27,F102,B 17J2,24.7,B 17J2,7.41,89.2,18B1,29.5,
BVR,2019-07-18,B50,YSI,28.5,YSI,8.09,102.5,17L1,27.7,Recalibrated YSI between B50 and B45
BVR,2019-07-18,B45,YSI,28.7,YSI,7.53,96.2,17L1,27.6,
BVR,2019-07-18,B01,YSI,28.9,YSI,7.44,95.6,17L1,27.7,
BVR,2019-07-18,B20,YSI,28.7,YSI,7.36,94.6,17L1,27.8,
BVR,2019-07-18,B100,YSI,20.4,YSI,7.93,87.1,17L1,39.2,
BVR,2019-07-18,B30,YSI,29.9,YSI,7.72,100.8,17L1,27.8,
BVR,2019-07-18,B200,YSI,26.5,YSI,6.85,84.3,17L1,33.6,
FCR,2019-07-18,F20,218B1,27.8,B 17J2,9.25,119.3,18B1,36.4,"used old do calibration, could not get cell service to calibrate "
FCR,2019-07-18,F30,218B1,27.8,B 17J2,9.22,116.5,18B1,36.6,accidentally switched 20 and 200. should be changed on all bottles
FCR,2019-07-18,F45,218B1,28.1,B 17J2,9.19,113.3,18B1,36.5,"at F01, water not flowing over spillway"
FCR,2019-07-18,F01,218B1,27,B 17J2,6.78,85,18B1,79.4,past two months FCR 101 and 102 were sampled at end of salt slug reach; in May they were sampled at head of salt slug reach
FCR,2019-07-18,F200,218B1,22.7,B 17J2,7.42,84.6,18B1,56.5,
FCR,2019-07-18,F99,218B1,22.1,B 17J2,8.45,97,18B1,36.5,
FCR,2019-07-18,F100,218B1,22.1,B 17J2,8.39,96.2,18B1,35.9,
FCR,2019-07-18,F101,218B1,21.7,B 17J2,8.57,97.5,18B1,35.4,
FCR,2019-07-18,F102,218B1,16,B 17J2,9.5,96,18B1,47.6,
FCR,2019-06-27,F01,B 17J2,29.5,B 17J2,7.6,93.7,18B1,57.5,
FCR,2019-06-27,F45,B 17J2,26.8,B 17J2,9.21,110.7,18B1,34.7,
FCR,2019-06-27,F30,B 17J2,25.8,B 17J2,9.27,113,18B1,34.7,
FCR,2019-06-27,F20,B 17J2,26.5,B 17J2,9.75,119.5,18B1,35,
FCR,2019-06-27,F99,B 17J2,21.5,B 17J2,8.91,100.9,18B1,31.5,
FCR,2019-06-27,F100,B 17J2,21.7,B 17J2,8.74,99.5,18B1,31.2,
FCR,2019-06-27,F200,B 17J2,24.3,B 17J2,7.95,94.1,18B1,47.1,
FCR,2019-06-27,F101,B 17J2,22.6,B 17J2,8.6,98.7,18B1,31,
FCR,2019-06-27,F102,B 17J2,24.7,B 17J2,7.41,89.2,18B1,29.5,
FCR,2019-09-20,F45,2 18B1,23.7,B 17J2,8.14,95.7,2 18B1,38.3,
FCR,2019-09-20,F30,2 18B1,23.8,B 17J2,8.03,96.3,2 18B1,39.2,
FCR,2019-09-20,F20,2 18B1,24.2,B 17J2,8.12,97.5,2 18B1,39,
FCR,2019-09-20,F50,2 18B1,23.1,B 17J2,7.32,86.1,2 18B1,38.8,
FCR,2019-10-04,F200,B 17J2,18.5,B 17J2,5.57,59.2,17L1,50.6,
FCR,2019-10-04,F20,B 17J2,23.7,B 17J2,10.33,123,17L1,40.5,
FCR,2019-10-04,F30,B 17J2,24,B 17J2,9.71,117.5,17L1,40.2,
FCR,2019-10-04,F45,B 17J2,24.4,B 17J2,10.24,121.5,17L1,40.8,
FCR,2019-10-04,F01,B 17J2,22.8,B 17J2,7.11,82.4,17L1,150,
FCR,2019-10-04,F99,B 17J2,20.3,B 17J2,8.42,93.4,17L1,42.5,
FCR,2019-10-04,F100,B 17J2,20.6,B 17J2,8.35,92.8,17L1,42.2,
FCR,2019-10-04,F101,B 17J2,19.9,B 17J2,8.7,95.5,17L1,41.6,
FCR,2019-10-04,F102,B 17J2,15,B 17J2,9.53,94.4,17L1,50.1,
FCR,2019-08-22,F01,2 18B1,25.7,B 17J2,5.81,71.2,2 18B1,89.3,Primarily toe drain water. Explains weird chemistry
FCR,2019-08-22,F50,2 18B1,27.6,B 17J2,9.54,120.9,2 18B1,38.7,
FCR,2019-08-22,F45,2 18B1,27.8,B 17J2,9.89,126.8,2 18B1,39.1,
FCR,2019-08-22,F30,2 18B1,27.9,B 17J2,10.29,128.3,2 18B1,38.7,
FCR,2019-08-22,F20,2 18B1,28,B 17J2,10.23,125.1,2 18B1,39.3,
FCR,2019-08-22,F200,2 18B1,22.2,B 17J2,7.75,87.2,2 18B1,50.3,
FCR,2019-08-22,F99,2 18B1,21.7,B 17J2,8.35,94.5,2 18B1,38.6,
FCR,2019-08-22,F100,2 18B1,21.8,B 17J2,8.39,95.5,2 18B1,37.9,
FCR,2019-08-22,F101,2 18B1,21.9,B 17J2,8.4,95.5,2 18B1,37.4,
FCR,2019-08-22,F102,2 18B1,15.5,B 17J2,9.55,96.2,2 18B1,41.4,
