Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
SML,50,2014-09-23 12:00:00,28,1.2,NA,0,2
BVR,50,2015-08-13 12:00:00,0.1,2.9,1.7,0,0
BVR,50,2015-08-13 12:00:00,3,4.6,2,0,0
BVR,50,2015-08-13 12:00:00,6,25.9,13.9,0,0
BVR,50,2015-08-13 12:00:00,9,26.5,2.5,0,0
BVR,50,2015-08-13 12:00:00,12,51.9,2.1,0,4
BVR,50,2015-08-20 12:00:00,0.1,7.5,5.4,0,0
BVR,50,2015-08-20 12:00:00,3,8.6,3,0,0
BVR,50,2015-08-20 12:00:00,6,34,15.8,0,0
BVR,50,2015-08-20 12:00:00,9,38.4,5.8,0,0
BVR,50,2015-08-20 12:00:00,12,54.8,32.4,0,0
BVR,50,2015-09-04 12:00:00,0.1,6.9,1,0,0
BVR,50,2015-09-04 12:00:00,3,5.2,1,0,0
BVR,50,2015-09-04 12:00:00,6,6.3,4.4,0,0
BVR,50,2015-09-04 12:00:00,9,28.8,2.1,0,4
BVR,50,2015-09-04 12:00:00,12,26.9,6.3,0,0
BVR,50,2015-09-18 12:00:00,0.1,2.3,2.3,0,0
BVR,50,2015-09-18 12:00:00,3,4,1.8,0,0
BVR,50,2015-09-18 12:00:00,6,6.3,5.7,0,0
BVR,50,2015-09-18 12:00:00,9,25,5.5,0,0
BVR,50,2015-09-18 12:00:00,12,32.7,3.3,0,0
BVR,50,2015-10-02 12:00:00,0.1,4.6,12.4,0,0
BVR,50,2015-10-02 12:00:00,3,10.6,1.2,0,0
BVR,50,2015-10-02 12:00:00,6,2.9,-0.8,0,4
BVR,50,2015-10-02 12:00:00,9,13,2.6,0,0
BVR,50,2015-10-02 12:00:00,12,11.5,-1.2,0,4
BVR,50,2015-10-23 12:00:00,0.1,3.5,-1,0,4
BVR,50,2015-10-23 12:00:00,3,2.3,-0.6,0,4
BVR,50,2015-10-23 12:00:00,6,5.2,-1,0,4
BVR,50,2015-10-23 12:00:00,9,19.2,-1.2,0,4
BVR,50,2015-10-23 12:00:00,12,34.6,-1.4,0,4
CCR,50,2015-05-08 12:00:00,0.1,3.5,-0.1,0,4
CCR,50,2015-05-08 12:00:00,6,1.7,2,0,0
CCR,50,2015-05-08 12:00:00,21,1.7,-0.1,0,4
CCR,50,2015-05-22 12:00:00,0.1,1.2,1.3,0,0
CCR,50,2015-05-22 12:00:00,6,2.3,1.4,0,0
CCR,50,2015-05-22 12:00:00,21,4,5.5,0,0
CCR,50,2015-05-29 12:00:00,0.1,1.2,-0.3,0,4
CCR,50,2015-05-29 12:00:00,6,1.7,0.3,0,4
CCR,50,2015-05-29 12:00:00,21,1.7,2.4,0,0
CCR,50,2015-06-12 12:00:00,0.1,0,0.4,4,4
CCR,50,2015-06-12 12:00:00,6,1.7,1.6,0,0
CCR,50,2015-06-26 12:00:00,0.1,0.6,1.1,4,0
CCR,50,2015-06-26 12:00:00,6,2.9,2.1,0,0
CCR,50,2015-06-26 12:00:00,21,3.8,6.5,0,0
CCR,50,2015-07-10 12:00:00,0.1,1.2,-0.3,0,4
CCR,50,2015-07-10 12:00:00,6,4,0.9,0,0
CCR,50,2015-07-10 12:00:00,20,1.7,4.5,0,0
CCR,50,2015-07-24 12:00:00,0.1,1.7,0.3,0,4
